"","participant","figure2","label2","type","total_ss_answer","accurate","agegroup","total_ss_answer_c"
"54","184369","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",28,1,"Young",2.36458333333333
"55","184369","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",28,1,"Young",2.36458333333333
"56","184369","resources/real_fg_memory_images/orig21.jpg","Scam","real",28,1,"Young",2.36458333333333
"57","184369","resources/real_fg_memory_images/orig24.jpg","Scam","real",28,1,"Young",2.36458333333333
"58","184369","resources/real_fg_memory_images/orig26.jpg","Neutral","real",28,1,"Young",2.36458333333333
"59","184369","resources/real_fg_memory_images/orig20.jpg","Scam","real",28,1,"Young",2.36458333333333
"60","184369","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",28,1,"Young",2.36458333333333
"61","184369","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",28,1,"Young",2.36458333333333
"62","184369","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",28,1,"Young",2.36458333333333
"63","184369","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",28,1,"Young",2.36458333333333
"64","184369","resources/real_fg_memory_images/orig27.jpg","Neutral","real",28,0,"Young",2.36458333333333
"65","184369","resources/real_fg_memory_images/orig23.jpg","Scam","real",28,1,"Young",2.36458333333333
"66","184369","resources/real_fg_memory_images/orig22.jpg","Scam","real",28,1,"Young",2.36458333333333
"67","184369","resources/real_fg_memory_images/orig29.jpg","Neutral","real",28,1,"Young",2.36458333333333
"68","184369","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",28,0,"Young",2.36458333333333
"69","184369","resources/real_fg_memory_images/orig28.jpg","Neutral","real",28,1,"Young",2.36458333333333
"70","184369","resources/real_fg_memory_images/orig25.jpg","Neutral","real",28,0,"Young",2.36458333333333
"71","184369","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",28,1,"Young",2.36458333333333
"72","184369","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",28,1,"Young",2.36458333333333
"73","217095","resources/real_fg_memory_images/orig19.jpg","Scam","real",27,0,"Young",1.36458333333333
"74","217095","resources/real_fg_memory_images/orig21.jpg","Scam","real",27,1,"Young",1.36458333333333
"75","217095","resources/real_fg_memory_images/orig30.jpg","Neutral","real",27,1,"Young",1.36458333333333
"76","217095","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"77","217095","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"78","217095","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"79","217095","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"80","217095","resources/real_fg_memory_images/orig23.jpg","Scam","real",27,0,"Young",1.36458333333333
"81","217095","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"82","217095","resources/real_fg_memory_images/orig26.jpg","Neutral","real",27,0,"Young",1.36458333333333
"83","217095","resources/real_fg_memory_images/orig24.jpg","Scam","real",27,0,"Young",1.36458333333333
"84","217095","resources/real_fg_memory_images/orig27.jpg","Neutral","real",27,1,"Young",1.36458333333333
"85","217095","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"86","217095","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"87","217095","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"88","217095","resources/real_fg_memory_images/orig25.jpg","Neutral","real",27,1,"Young",1.36458333333333
"89","217095","resources/real_fg_memory_images/orig22.jpg","Scam","real",27,0,"Young",1.36458333333333
"90","217095","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"91","217095","resources/real_fg_memory_images/orig28.jpg","Neutral","real",27,1,"Young",1.36458333333333
"92","217095","resources/real_fg_memory_images/orig20.jpg","Scam","real",27,1,"Young",1.36458333333333
"93","217095","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"94","217095","resources/real_fg_memory_images/orig29.jpg","Neutral","real",27,1,"Young",1.36458333333333
"95","217095","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"96","217095","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"97","287721","resources/real_fg_memory_images/orig24.jpg","Scam","real",27,1,"Young",1.36458333333333
"98","287721","resources/real_fg_memory_images/orig28.jpg","Neutral","real",27,1,"Young",1.36458333333333
"99","287721","resources/real_fg_memory_images/orig20.jpg","Scam","real",27,1,"Young",1.36458333333333
"100","287721","resources/real_fg_memory_images/orig30.jpg","Neutral","real",27,1,"Young",1.36458333333333
"101","287721","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"102","287721","resources/real_fg_memory_images/orig29.jpg","Neutral","real",27,1,"Young",1.36458333333333
"103","287721","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",27,1,"Young",1.36458333333333
"104","287721","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"105","287721","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"106","287721","resources/real_fg_memory_images/orig25.jpg","Neutral","real",27,1,"Young",1.36458333333333
"107","287721","resources/real_fg_memory_images/orig22.jpg","Scam","real",27,1,"Young",1.36458333333333
"108","287721","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"109","287721","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"110","287721","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"111","287721","resources/real_fg_memory_images/orig21.jpg","Scam","real",27,1,"Young",1.36458333333333
"112","287721","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"113","287721","resources/real_fg_memory_images/orig19.jpg","Scam","real",27,1,"Young",1.36458333333333
"114","287721","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"115","287721","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"116","287721","resources/real_fg_memory_images/orig27.jpg","Neutral","real",27,1,"Young",1.36458333333333
"117","287721","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"118","287721","resources/real_fg_memory_images/orig26.jpg","Neutral","real",27,1,"Young",1.36458333333333
"119","287721","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"120","287721","resources/real_fg_memory_images/orig23.jpg","Scam","real",27,1,"Young",1.36458333333333
"121","387610","resources/real_fg_memory_images/orig26.jpg","Neutral","real",20,0,"Young",-5.63541666666667
"122","387610","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",20,0,"Young",-5.63541666666667
"123","387610","resources/real_fg_memory_images/orig30.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"124","387610","resources/real_fg_memory_images/orig28.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"125","387610","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"126","387610","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",20,1,"Young",-5.63541666666667
"127","387610","resources/real_fg_memory_images/orig23.jpg","Scam","real",20,0,"Young",-5.63541666666667
"128","387610","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"129","387610","resources/real_fg_memory_images/orig25.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"130","387610","resources/real_fg_memory_images/orig24.jpg","Scam","real",20,1,"Young",-5.63541666666667
"131","387610","resources/real_fg_memory_images/orig20.jpg","Scam","real",20,0,"Young",-5.63541666666667
"132","387610","resources/real_fg_memory_images/orig21.jpg","Scam","real",20,0,"Young",-5.63541666666667
"133","387610","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"134","387610","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",20,0,"Young",-5.63541666666667
"135","387610","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"136","387610","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",20,0,"Young",-5.63541666666667
"137","387610","resources/real_fg_memory_images/orig27.jpg","Neutral","real",20,0,"Young",-5.63541666666667
"138","387610","resources/real_fg_memory_images/orig29.jpg","Neutral","real",20,0,"Young",-5.63541666666667
"139","387610","resources/real_fg_memory_images/orig19.jpg","Scam","real",20,1,"Young",-5.63541666666667
"140","387610","resources/real_fg_memory_images/orig22.jpg","Scam","real",20,0,"Young",-5.63541666666667
"141","387610","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"142","387610","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",20,0,"Young",-5.63541666666667
