participant,figure2,agegroup,textbox_comp.text,Type,Time,total_ss_answer.x,label2,type,total_ss_answer.y,accurate
050143,resources/real_fg_memory_images/fg30.jpg,Young,7,artificial,Pre,29,Neutral,artificial,29,0
050143,resources/real_fg_memory_images/fg30.jpg,Young,6,artificial,Post,29,Neutral,artificial,29,0
050143,resources/real_fg_memory_images/orig3.jpg,Young,6,real,Pre,29,Scam,real,29,0
050143,resources/real_fg_memory_images/orig3.jpg,Young,3,real,Post,29,Scam,real,29,0
056351,resources/real_fg_memory_images/fg19.jpg,Young,2,artificial,Pre,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg19.jpg,Young,1,artificial,Post,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg20.jpg,Young,1,artificial,Post,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg20.jpg,Young,3,artificial,Pre,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg24.jpg,Young,3,artificial,Post,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg24.jpg,Young,4,artificial,Pre,29,Neutral,artificial,29,0
056351,resources/real_fg_memory_images/fg26.jpg,Young,2,artificial,Pre,29,Scam,artificial,29,0
056351,resources/real_fg_memory_images/fg26.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
056351,resources/real_fg_memory_images/fg29.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
056351,resources/real_fg_memory_images/fg29.jpg,Young,3,artificial,Pre,29,Scam,artificial,29,0
056351,resources/real_fg_memory_images/orig10.jpg,Young,6,real,Pre,29,Scam,real,29,0
056351,resources/real_fg_memory_images/orig10.jpg,Young,2,real,Post,29,Scam,real,29,0
056351,resources/real_fg_memory_images/orig11.jpg,Young,4,real,Pre,29,Scam,real,29,0
056351,resources/real_fg_memory_images/orig11.jpg,Young,6,real,Post,29,Scam,real,29,0
056351,resources/real_fg_memory_images/orig5.jpg,Young,1,real,Post,29,Neutral,real,29,0
056351,resources/real_fg_memory_images/orig5.jpg,Young,3,real,Pre,29,Neutral,real,29,0
056351,resources/real_fg_memory_images/orig9.jpg,Young,4,real,Post,29,Scam,real,29,0
056351,resources/real_fg_memory_images/orig9.jpg,Young,3,real,Pre,29,Scam,real,29,0
089411,resources/real_fg_memory_images/fg1.jpg,Young,2,artificial,Pre,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg1.jpg,Young,6,artificial,Post,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg11.jpg,Young,5,artificial,Post,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/fg11.jpg,Young,6,artificial,Pre,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/fg2.jpg,Young,3,artificial,Pre,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg2.jpg,Young,6,artificial,Post,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg3.jpg,Young,7,artificial,Post,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg3.jpg,Young,6,artificial,Pre,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg5.jpg,Young,4,artificial,Pre,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg5.jpg,Young,2,artificial,Post,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg6.jpg,Young,5,artificial,Post,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg6.jpg,Young,7,artificial,Pre,29,Neutral,artificial,29,0
089411,resources/real_fg_memory_images/fg7.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/fg7.jpg,Young,6,artificial,Pre,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/fg9.jpg,Young,6,artificial,Post,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/fg9.jpg,Young,4,artificial,Pre,29,Scam,artificial,29,0
089411,resources/real_fg_memory_images/orig23.jpg,Young,6,real,Pre,29,Neutral,real,29,0
089411,resources/real_fg_memory_images/orig23.jpg,Young,2,real,Post,29,Neutral,real,29,0
089411,resources/real_fg_memory_images/orig25.jpg,Young,6,real,Pre,29,Scam,real,29,0
089411,resources/real_fg_memory_images/orig25.jpg,Young,7,real,Post,29,Scam,real,29,0
089411,resources/real_fg_memory_images/orig26.jpg,Young,9,real,Pre,29,Scam,real,29,0
089411,resources/real_fg_memory_images/orig26.jpg,Young,8,real,Post,29,Scam,real,29,0
104690,resources/real_fg_memory_images/fg21.jpg,Young,4,artificial,Post,29,Neutral,artificial,29,0
104690,resources/real_fg_memory_images/fg21.jpg,Young,6,artificial,Pre,29,Neutral,artificial,29,0
104690,resources/real_fg_memory_images/fg24.jpg,Young,3,artificial,Post,29,Neutral,artificial,29,0
104690,resources/real_fg_memory_images/fg24.jpg,Young,3,artificial,Pre,29,Neutral,artificial,29,0
104690,resources/real_fg_memory_images/fg25.jpg,Young,3,artificial,Pre,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/fg25.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/fg29.jpg,Young,6,artificial,Pre,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/fg29.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/fg30.jpg,Young,3,artificial,Post,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/fg30.jpg,Young,7,artificial,Pre,29,Scam,artificial,29,0
104690,resources/real_fg_memory_images/orig3.jpg,Young,8,real,Pre,29,Neutral,real,29,0
104690,resources/real_fg_memory_images/orig3.jpg,Young,6,real,Post,29,Neutral,real,29,0
104690,resources/real_fg_memory_images/orig6.jpg,Young,9,real,Pre,29,Neutral,real,29,0
104690,resources/real_fg_memory_images/orig6.jpg,Young,8,real,Post,29,Neutral,real,29,0
104690,resources/real_fg_memory_images/orig9.jpg,Young,6,real,Pre,29,Scam,real,29,0
104690,resources/real_fg_memory_images/orig9.jpg,Young,7,real,Post,29,Scam,real,29,0
123371,resources/real_fg_memory_images/fg5.jpg,Young,2,artificial,Pre,28,Neutral,artificial,28,0
123371,resources/real_fg_memory_images/fg5.jpg,Young,3,artificial,Post,28,Neutral,artificial,28,0
123371,resources/real_fg_memory_images/orig19.jpg,Young,7,real,Post,28,Neutral,real,28,0
123371,resources/real_fg_memory_images/orig19.jpg,Young,5,real,Pre,28,Neutral,real,28,0
123371,resources/real_fg_memory_images/orig24.jpg,Young,9,real,Pre,28,Neutral,real,28,0
123371,resources/real_fg_memory_images/orig24.jpg,Young,6,real,Post,28,Neutral,real,28,0
123371,resources/real_fg_memory_images/orig25.jpg,Young,3,real,Pre,28,Scam,real,28,0
123371,resources/real_fg_memory_images/orig25.jpg,Young,2,real,Post,28,Scam,real,28,0
129698,resources/real_fg_memory_images/fg10.jpg,Young,5,artificial,Pre,26,Scam,artificial,26,0
129698,resources/real_fg_memory_images/fg10.jpg,Young,4,artificial,Post,26,Scam,artificial,26,0
129698,resources/real_fg_memory_images/fg12.jpg,Young,0,artificial,Post,26,Scam,artificial,26,0
129698,resources/real_fg_memory_images/fg12.jpg,Young,2,artificial,Pre,26,Scam,artificial,26,0
129698,resources/real_fg_memory_images/fg6.jpg,Young,3,artificial,Pre,26,Neutral,artificial,26,0
129698,resources/real_fg_memory_images/fg6.jpg,Young,3,artificial,Post,26,Neutral,artificial,26,0
143839,resources/real_fg_memory_images/fg1.jpg,Young,7,artificial,Post,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg1.jpg,Young,5,artificial,Pre,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg10.jpg,Young,3,artificial,Pre,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg10.jpg,Young,6,artificial,Post,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg11.jpg,Young,3,artificial,Post,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg11.jpg,Young,7,artificial,Pre,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg12.jpg,Young,4,artificial,Post,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg12.jpg,Young,4,artificial,Pre,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg2.jpg,Young,8,artificial,Pre,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg2.jpg,Young,5,artificial,Post,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg3.jpg,Young,4,artificial,Pre,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg3.jpg,Young,1,artificial,Post,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg6.jpg,Young,6,artificial,Pre,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg6.jpg,Young,6,artificial,Post,23,Neutral,artificial,23,0
143839,resources/real_fg_memory_images/fg8.jpg,Young,4,artificial,Pre,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/fg8.jpg,Young,2,artificial,Post,23,Scam,artificial,23,0
143839,resources/real_fg_memory_images/orig22.jpg,Young,4,real,Pre,23,Neutral,real,23,0
143839,resources/real_fg_memory_images/orig22.jpg,Young,4,real,Post,23,Neutral,real,23,0
143839,resources/real_fg_memory_images/orig23.jpg,Young,9,real,Post,23,Neutral,real,23,0
143839,resources/real_fg_memory_images/orig23.jpg,Young,5,real,Pre,23,Neutral,real,23,0
152441,resources/real_fg_memory_images/fg12.jpg,Young,6,artificial,Pre,22,Neutral,artificial,22,0
