"","participant","label2","Time","Type","textbox_comp.text"
"124","092685","Neutral","Pre","real",5.16666666666667
"125","092685","None","Post","artificial",4.5
"126","092685","None","Post","real",4.66666666666667
"127","092685","None","Pre","artificial",4.83333333333333
"128","092685","None","Pre","real",5.16666666666667
"129","092685","Scam","Post","artificial",4.5
"130","092685","Scam","Post","real",4.5
"131","092685","Scam","Pre","artificial",5.16666666666667
"132","092685","Scam","Pre","real",5
"133","099239","Neutral","Post","artificial",4.33333333333333
"134","099239","Neutral","Post","real",4
"135","099239","Neutral","Pre","artificial",7.16666666666667
"136","099239","Neutral","Pre","real",5.16666666666667
"137","099239","None","Post","artificial",2.33333333333333
"138","099239","None","Post","real",4.33333333333333
"139","099239","None","Pre","artificial",4.83333333333333
"140","099239","None","Pre","real",6.5
"141","099239","Scam","Post","artificial",3
"142","099239","Scam","Post","real",4.83333333333333
"143","099239","Scam","Pre","artificial",5.66666666666667
"144","099239","Scam","Pre","real",6.66666666666667
"145","106015","Neutral","Post","artificial",5.66666666666667
"146","106015","Neutral","Post","real",5
"147","106015","Neutral","Pre","artificial",6
"148","106015","Neutral","Pre","real",5
"149","106015","None","Post","artificial",6.33333333333333
"150","106015","None","Post","real",6.16666666666667
"151","106015","None","Pre","artificial",6.66666666666667
"152","106015","None","Pre","real",6.5
"153","106015","Scam","Post","artificial",7.5
"154","106015","Scam","Post","real",6.83333333333333
"155","106015","Scam","Pre","artificial",7.83333333333333
"156","106015","Scam","Pre","real",7.5
"157","124582","Neutral","Post","artificial",4.66666666666667
"158","124582","Neutral","Post","real",6.16666666666667
"159","124582","Neutral","Pre","artificial",5.5
"160","124582","Neutral","Pre","real",6.33333333333333
"161","124582","None","Post","artificial",5.5
"162","124582","None","Post","real",6.66666666666667
"163","124582","None","Pre","artificial",5.66666666666667
"164","124582","None","Pre","real",6.66666666666667
"165","124582","Scam","Post","artificial",6
"166","124582","Scam","Post","real",7.5
"167","124582","Scam","Pre","artificial",6.33333333333333
"168","124582","Scam","Pre","real",7.5
"169","149277","Neutral","Post","artificial",7.5
"170","149277","Neutral","Post","real",6.16666666666667
"171","149277","Neutral","Pre","artificial",6
"172","149277","Neutral","Pre","real",6.33333333333333
"173","149277","None","Post","artificial",5
"174","149277","None","Post","real",6.16666666666667
"175","149277","None","Pre","artificial",6.66666666666667
"176","149277","None","Pre","real",6.83333333333333
"177","149277","Scam","Post","artificial",3.16666666666667
"178","149277","Scam","Post","real",3.8
"179","149277","Scam","Pre","artificial",6.16666666666667
"180","149277","Scam","Pre","real",6.5
"181","151619","Neutral","Post","artificial",5.16666666666667
"182","151619","Neutral","Post","real",6.5
"183","151619","Neutral","Pre","artificial",6.5
"184","151619","Neutral","Pre","real",7.16666666666667
"185","151619","None","Post","artificial",6.66666666666667
"186","151619","None","Post","real",5.16666666666667
"187","151619","None","Pre","artificial",6.83333333333333
"188","151619","None","Pre","real",6.33333333333333
"189","151619","Scam","Post","artificial",5.66666666666667
"190","151619","Scam","Post","real",3.5
"191","151619","Scam","Pre","artificial",6.16666666666667
"192","151619","Scam","Pre","real",6
"193","154362","Neutral","Post","artificial",6.16666666666667
"194","154362","Neutral","Post","real",1.83333333333333
"195","154362","Neutral","Pre","artificial",3.16666666666667
"196","154362","Neutral","Pre","real",4.33333333333333
"197","154362","None","Post","artificial",6.83333333333333
"198","154362","None","Post","real",4.16666666666667
"199","154362","None","Pre","artificial",5.5
"200","154362","None","Pre","real",5
"201","154362","Scam","Post","artificial",3.16666666666667
"202","154362","Scam","Post","real",2.33333333333333
"203","154362","Scam","Pre","artificial",3.66666666666667
"204","154362","Scam","Pre","real",1.83333333333333
"205","163777","Neutral","Post","artificial",6.33333333333333
"206","163777","Neutral","Post","real",3
"207","163777","Neutral","Pre","artificial",6.33333333333333
"208","163777","Neutral","Pre","real",3.16666666666667
"209","163777","None","Post","artificial",5.83333333333333
"210","163777","None","Post","real",5
"211","163777","None","Pre","artificial",6.33333333333333
"212","163777","None","Pre","real",6.83333333333333
"213","163777","Scam","Post","artificial",4
"214","163777","Scam","Post","real",4.33333333333333
"215","163777","Scam","Pre","artificial",4.83333333333333
"216","163777","Scam","Pre","real",4
"217","167131","Neutral","Post","artificial",4.16666666666667
"218","167131","Neutral","Post","real",3.33333333333333
"219","167131","Neutral","Pre","artificial",7.16666666666667
"220","167131","Neutral","Pre","real",4.33333333333333
"221","167131","None","Post","artificial",4
"222","167131","None","Post","real",4.83333333333333
"223","167131","None","Pre","artificial",5.5
"224","167131","None","Pre","real",9
"225","167131","Scam","Post","artificial",1.83333333333333
"226","167131","Scam","Post","real",2.5
"227","167131","Scam","Pre","artificial",5.33333333333333
"228","167131","Scam","Pre","real",6
"229","173031","Neutral","Post","artificial",6.16666666666667
"230","173031","Neutral","Post","real",5.33333333333333
"231","173031","Neutral","Pre","artificial",6.16666666666667
"232","173031","Neutral","Pre","real",6.5
"233","173031","None","Post","artificial",5.83333333333333
"234","173031","None","Post","real",6.33333333333333
"235","173031","None","Pre","artificial",7
"236","173031","None","Pre","real",6.83333333333333
"237","173031","Scam","Post","artificial",5.33333333333333
"238","173031","Scam","Post","real",7
"239","173031","Scam","Pre","artificial",6
"240","173031","Scam","Pre","real",6.5
"241","183377","Neutral","Post","artificial",4.33333333333333
"242","183377","Neutral","Post","real",6.83333333333333
"243","183377","Neutral","Pre","artificial",3.83333333333333
"244","183377","Neutral","Pre","real",4.66666666666667
"245","183377","None","Post","artificial",5.83333333333333
"246","183377","None","Post","real",6.66666666666667
"247","183377","None","Pre","artificial",5.5
"248","183377","None","Pre","real",5.5
"249","183377","Scam","Post","artificial",5.33333333333333
"250","183377","Scam","Post","real",4
"251","183377","Scam","Pre","artificial",3.5
"252","183377","Scam","Pre","real",3.83333333333333
"253","202198","Neutral","Post","artificial",5.66666666666667
"254","202198","Neutral","Post","real",6.83333333333333
"255","202198","Neutral","Pre","artificial",6.33333333333333
"256","202198","Neutral","Pre","real",7.33333333333333
"257","202198","None","Post","artificial",6.83333333333333
"258","202198","None","Post","real",7.5
"259","202198","None","Pre","artificial",7.16666666666667
"260","202198","None","Pre","real",8.16666666666667
"261","202198","Scam","Post","artificial",6
"262","202198","Scam","Post","real",5.33333333333333
"263","202198","Scam","Pre","artificial",6.83333333333333
"264","202198","Scam","Pre","real",6.83333333333333
"265","215889","Neutral","Post","artificial",5
"266","215889","Neutral","Post","real",5
