"","participant","textbox_comp.text","figure2","Type","type","label2","button_selections_test","textbox_comp_2.text","slider1.response","ss_question","Gender","textboxAge.text"
"1","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","037351",7,"resources/real_fg_memory_images/fg18.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"6","037351",3,"resources/real_fg_memory_images/orig26.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"7","037351",4,"resources/real_fg_memory_images/fg17.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"8","037351",4,"resources/real_fg_memory_images/fg11.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"9","037351",2,"resources/real_fg_memory_images/fg2.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"10","037351",6,"resources/real_fg_memory_images/orig25.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"11","037351",2,"resources/real_fg_memory_images/orig27.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"12","037351",8,"resources/real_fg_memory_images/orig23.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"13","037351",3,"resources/real_fg_memory_images/fg7.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"14","037351",8,"resources/real_fg_memory_images/fg16.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"15","037351",1,"resources/real_fg_memory_images/orig21.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"16","037351",2,"resources/real_fg_memory_images/fg1.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"17","037351",2,"resources/real_fg_memory_images/fg8.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"18","037351",6,"resources/real_fg_memory_images/orig35.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"19","037351",2,"resources/real_fg_memory_images/fg3.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"20","037351",5,"resources/real_fg_memory_images/orig31.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"21","037351",8,"resources/real_fg_memory_images/orig36.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"22","037351",8,"resources/real_fg_memory_images/orig28.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"23","037351",7,"resources/real_fg_memory_images/fg15.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"24","037351",5,"resources/real_fg_memory_images/orig24.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"25","037351",7,"resources/real_fg_memory_images/fg14.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"26","037351",6,"resources/real_fg_memory_images/fg6.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"27","037351",5,"resources/real_fg_memory_images/fg13.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"28","037351",6,"resources/real_fg_memory_images/orig32.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"29","037351",7,"resources/real_fg_memory_images/orig29.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"30","037351",3,"resources/real_fg_memory_images/orig22.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"31","037351",2,"resources/real_fg_memory_images/fg9.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"32","037351",2,"resources/real_fg_memory_images/orig33.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"33","037351",3,"resources/real_fg_memory_images/fg12.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"34","037351",3,"resources/real_fg_memory_images/orig34.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"35","037351",2,"resources/real_fg_memory_images/fg4.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"36","037351",9,"resources/real_fg_memory_images/orig30.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"37","037351",7,"resources/real_fg_memory_images/fg5.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"38","037351",6,"resources/real_fg_memory_images/orig19.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"39","037351",2,"resources/real_fg_memory_images/orig20.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"40","037351",2,"resources/real_fg_memory_images/fg10.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"41","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","037351",NA,"resources/real_fg_memory_images/fg8.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"43","037351",NA,"resources/real_fg_memory_images/orig28.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"44","037351",NA,"resources/real_fg_memory_images/orig29.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"45","037351",NA,"resources/real_fg_memory_images/orig19.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"46","037351",NA,"resources/real_fg_memory_images/fg12.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"47","037351",NA,"resources/real_fg_memory_images/orig27.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"48","037351",NA,"resources/real_fg_memory_images/fg4.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"49","037351",NA,"resources/real_fg_memory_images/orig20.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"50","037351",NA,"resources/real_fg_memory_images/orig26.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"51","037351",NA,"resources/real_fg_memory_images/orig23.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"52","037351",NA,"resources/real_fg_memory_images/fg1.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"53","037351",NA,"resources/real_fg_memory_images/fg6.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"54","037351",NA,"resources/real_fg_memory_images/fg3.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"55","037351",NA,"resources/real_fg_memory_images/orig30.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"56","037351",NA,"resources/real_fg_memory_images/orig24.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"57","037351",NA,"resources/real_fg_memory_images/fg2.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"58","037351",NA,"resources/real_fg_memory_images/fg5.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"59","037351",NA,"resources/real_fg_memory_images/fg11.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"60","037351",NA,"resources/real_fg_memory_images/orig22.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"61","037351",NA,"resources/real_fg_memory_images/fg7.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"62","037351",NA,"resources/real_fg_memory_images/fg9.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"63","037351",NA,"resources/real_fg_memory_images/orig25.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
"64","037351",NA,"resources/real_fg_memory_images/orig21.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"65","037351",NA,"resources/real_fg_memory_images/fg10.jpg",NA,"artificial","Neutral",NA,NA,NA,NA,NA,NA
"66","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","037351",NA,"resources/real_fg_memory_images/fg8.jpg",NA,"artificial","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"68","037351",NA,"resources/real_fg_memory_images/fg6.jpg",NA,"artificial","Scam","[""neutral_button""]","5",NA,NA,NA,NA
"69","037351",NA,"resources/real_fg_memory_images/orig30.jpg",NA,"real","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"70","037351",NA,"resources/real_fg_memory_images/orig23.jpg",NA,"real","Scam","[""scam_button""]","5",NA,NA,NA,NA
"71","037351",NA,"resources/real_fg_memory_images/orig22.jpg",NA,"real","Scam","[""scam_button""]","9",NA,NA,NA,NA
"72","037351",NA,"resources/real_fg_memory_images/orig26.jpg",NA,"real","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"73","037351",NA,"resources/real_fg_memory_images/fg9.jpg",NA,"artificial","Neutral","[""scam_button""]","7",NA,NA,NA,NA
"74","037351",NA,"resources/real_fg_memory_images/orig19.jpg",NA,"real","Scam","[""scam_button""]","8",NA,NA,NA,NA
"75","037351",NA,"resources/real_fg_memory_images/fg5.jpg",NA,"artificial","Scam","[""scam_button""]","7",NA,NA,NA,NA
"76","037351",NA,"resources/real_fg_memory_images/orig24.jpg",NA,"real","Scam","[""neutral_button""]","5",NA,NA,NA,NA
"77","037351",NA,"resources/real_fg_memory_images/orig20.jpg",NA,"real","Scam","[""scam_button""]","5",NA,NA,NA,NA
"78","037351",NA,"resources/real_fg_memory_images/fg10.jpg",NA,"artificial","Neutral","[""scam_button""]","5",NA,NA,NA,NA
"79","037351",NA,"resources/real_fg_memory_images/orig21.jpg",NA,"real","Scam","[""scam_button""]","5",NA,NA,NA,NA
"80","037351",NA,"resources/real_fg_memory_images/fg2.jpg",NA,"artificial","Scam","[""neutral_button""]","5",NA,NA,NA,NA
"81","037351",NA,"resources/real_fg_memory_images/orig25.jpg",NA,"real","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"82","037351",NA,"resources/real_fg_memory_images/fg12.jpg",NA,"artificial","Neutral","[""scam_button""]","5",NA,NA,NA,NA
"83","037351",NA,"resources/real_fg_memory_images/fg1.jpg",NA,"artificial","Scam","[""scam_button""]","5",NA,NA,NA,NA
"84","037351",NA,"resources/real_fg_memory_images/orig29.jpg",NA,"real","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"85","037351",NA,"resources/real_fg_memory_images/orig28.jpg",NA,"real","Neutral","[""neutral_button""]","9",NA,NA,NA,NA
"86","037351",NA,"resources/real_fg_memory_images/orig27.jpg",NA,"real","Neutral","[""neutral_button""]","5",NA,NA,NA,NA
"87","037351",NA,"resources/real_fg_memory_images/fg3.jpg",NA,"artificial","Scam","[""scam_button""]","5",NA,NA,NA,NA
"88","037351",NA,"resources/real_fg_memory_images/fg11.jpg",NA,"artificial","Neutral","[""neutral_button""]","9",NA,NA,NA,NA
"89","037351",NA,"resources/real_fg_memory_images/fg4.jpg",NA,"artificial","Scam","[""scam_button""]","5",NA,NA,NA,NA
"90","037351",NA,"resources/real_fg_memory_images/fg7.jpg",NA,"artificial","Neutral","[""neutral_button""]","9",NA,NA,NA,NA
"91","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","037351",8,"resources/real_fg_memory_images/fg2.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"93","037351",8,"resources/real_fg_memory_images/orig32.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"94","037351",6,"resources/real_fg_memory_images/fg15.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"95","037351",6,"resources/real_fg_memory_images/fg18.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"96","037351",5,"resources/real_fg_memory_images/fg4.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"97","037351",2,"resources/real_fg_memory_images/orig23.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"98","037351",2,"resources/real_fg_memory_images/orig22.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"99","037351",4,"resources/real_fg_memory_images/orig20.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"100","037351",4,"resources/real_fg_memory_images/fg3.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"101","037351",3,"resources/real_fg_memory_images/fg6.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"102","037351",3,"resources/real_fg_memory_images/orig24.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"103","037351",7,"resources/real_fg_memory_images/fg14.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"104","037351",4,"resources/real_fg_memory_images/orig33.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"105","037351",3,"resources/real_fg_memory_images/orig34.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"106","037351",4,"resources/real_fg_memory_images/fg5.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"107","037351",5,"resources/real_fg_memory_images/orig25.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"108","037351",2,"resources/real_fg_memory_images/orig27.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"109","037351",2,"resources/real_fg_memory_images/orig31.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"110","037351",3,"resources/real_fg_memory_images/fg9.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"111","037351",9,"resources/real_fg_memory_images/orig28.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"112","037351",2,"resources/real_fg_memory_images/orig29.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"113","037351",5,"resources/real_fg_memory_images/fg10.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"114","037351",4,"resources/real_fg_memory_images/orig26.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"115","037351",2,"resources/real_fg_memory_images/orig21.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"116","037351",7,"resources/real_fg_memory_images/fg11.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"117","037351",9,"resources/real_fg_memory_images/orig30.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"118","037351",6,"resources/real_fg_memory_images/fg17.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"119","037351",6,"resources/real_fg_memory_images/fg8.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"120","037351",6,"resources/real_fg_memory_images/fg12.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"121","037351",5,"resources/real_fg_memory_images/orig19.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"122","037351",5,"resources/real_fg_memory_images/orig36.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"123","037351",5,"resources/real_fg_memory_images/fg7.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"124","037351",4,"resources/real_fg_memory_images/fg1.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"125","037351",9,"resources/real_fg_memory_images/fg16.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"126","037351",5,"resources/real_fg_memory_images/orig35.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"127","037351",4,"resources/real_fg_memory_images/fg13.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"128","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","037351",NA,NA,NA,NA,NA,NA,NA,4,"I answer the phone whenever it rings, even if I do not know who is calling",NA,NA
"130","037351",NA,NA,NA,NA,NA,NA,NA,4,"If something sounds too good to be true, it usually is",NA,NA
"131","037351",NA,NA,NA,NA,NA,NA,NA,4,"Persons over the age of 65 are often targeted by con-artists",NA,NA
"132","037351",NA,NA,NA,NA,NA,NA,NA,4,"I have difficulty ending a phone call, even if the caller is a telemarketer, someone I do not know, or someone I do not wish to call me",NA,NA
"133","037351",NA,NA,NA,NA,NA,NA,NA,4,"If a telemarketer calls me, I usually listen to what they have to say",NA,NA
"134","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[""male_option""]",NA
"136","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"137","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","037351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","151619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","151619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","151619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","151619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","151619",8,"resources/real_fg_memory_images/fg18.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"152","151619",6,"resources/real_fg_memory_images/fg13.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"153","151619",8,"resources/real_fg_memory_images/fg8.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"154","151619",6,"resources/real_fg_memory_images/fg2.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"155","151619",5,"resources/real_fg_memory_images/fg3.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"156","151619",5,"resources/real_fg_memory_images/orig31.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
