"","participant","figure2","label2","textbox_comp_2.text","type","accurate","agegroup"
"63","184369","resources/real_fg_memory_images/fg7.jpg","Neutral",2,"artificial",1,"Young"
"64","184369","resources/real_fg_memory_images/orig27.jpg","Neutral",4,"real",0,"Young"
"65","184369","resources/real_fg_memory_images/orig23.jpg","Scam",5,"real",1,"Young"
"66","184369","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"67","184369","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"68","184369","resources/real_fg_memory_images/fg12.jpg","Neutral",5,"artificial",0,"Young"
"69","184369","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",1,"Young"
"70","184369","resources/real_fg_memory_images/orig25.jpg","Neutral",5,"real",0,"Young"
"71","184369","resources/real_fg_memory_images/fg3.jpg","Scam",3,"artificial",1,"Young"
"72","184369","resources/real_fg_memory_images/fg6.jpg","Scam",3,"artificial",1,"Young"
"73","217095","resources/real_fg_memory_images/orig19.jpg","Scam",5,"real",0,"Young"
"74","217095","resources/real_fg_memory_images/orig21.jpg","Scam",10,"real",1,"Young"
"75","217095","resources/real_fg_memory_images/orig30.jpg","Neutral",5,"real",1,"Young"
"76","217095","resources/real_fg_memory_images/fg2.jpg","Scam",6,"artificial",1,"Young"
"77","217095","resources/real_fg_memory_images/fg1.jpg","Scam",10,"artificial",1,"Young"
"78","217095","resources/real_fg_memory_images/fg12.jpg","Neutral",7,"artificial",0,"Young"
"79","217095","resources/real_fg_memory_images/fg3.jpg","Scam",5,"artificial",0,"Young"
"80","217095","resources/real_fg_memory_images/orig23.jpg","Scam",5,"real",0,"Young"
"81","217095","resources/real_fg_memory_images/fg8.jpg","Neutral",10,"artificial",0,"Young"
"82","217095","resources/real_fg_memory_images/orig26.jpg","Neutral",1,"real",0,"Young"
"83","217095","resources/real_fg_memory_images/orig24.jpg","Scam",5,"real",0,"Young"
"84","217095","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"85","217095","resources/real_fg_memory_images/fg7.jpg","Neutral",5,"artificial",0,"Young"
"86","217095","resources/real_fg_memory_images/fg6.jpg","Scam",5,"artificial",1,"Young"
"87","217095","resources/real_fg_memory_images/fg4.jpg","Scam",5,"artificial",1,"Young"
"88","217095","resources/real_fg_memory_images/orig25.jpg","Neutral",5,"real",1,"Young"
"89","217095","resources/real_fg_memory_images/orig22.jpg","Scam",7,"real",0,"Young"
"90","217095","resources/real_fg_memory_images/fg9.jpg","Neutral",5,"artificial",0,"Young"
"91","217095","resources/real_fg_memory_images/orig28.jpg","Neutral",7,"real",1,"Young"
"92","217095","resources/real_fg_memory_images/orig20.jpg","Scam",10,"real",1,"Young"
"93","217095","resources/real_fg_memory_images/fg5.jpg","Scam",7,"artificial",1,"Young"
"94","217095","resources/real_fg_memory_images/orig29.jpg","Neutral",9,"real",1,"Young"
"95","217095","resources/real_fg_memory_images/fg11.jpg","Neutral",7,"artificial",0,"Young"
"96","217095","resources/real_fg_memory_images/fg10.jpg","Neutral",2,"artificial",0,"Young"
"97","287721","resources/real_fg_memory_images/orig24.jpg","Scam",10,"real",1,"Young"
"98","287721","resources/real_fg_memory_images/orig28.jpg","Neutral",8,"real",1,"Young"
"99","287721","resources/real_fg_memory_images/orig20.jpg","Scam",10,"real",1,"Young"
"100","287721","resources/real_fg_memory_images/orig30.jpg","Neutral",10,"real",1,"Young"
"101","287721","resources/real_fg_memory_images/fg12.jpg","Neutral",5,"artificial",0,"Young"
"102","287721","resources/real_fg_memory_images/orig29.jpg","Neutral",4,"real",1,"Young"
"103","287721","resources/real_fg_memory_images/fg8.jpg","Neutral",8,"artificial",1,"Young"
"104","287721","resources/real_fg_memory_images/fg7.jpg","Neutral",6,"artificial",0,"Young"
"105","287721","resources/real_fg_memory_images/fg9.jpg","Neutral",3,"artificial",0,"Young"
"106","287721","resources/real_fg_memory_images/orig25.jpg","Neutral",8,"real",1,"Young"
"107","287721","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
