"","participant","label2","Time","Type","textbox_comp.text"
"125","142275","None","Post","artificial",5.5
"126","142275","None","Post","real",6.33333333333333
"127","142275","None","Pre","artificial",5.33333333333333
"128","142275","None","Pre","real",6.66666666666667
"129","142275","Scam","Post","artificial",5
"130","142275","Scam","Post","real",3.5
"131","142275","Scam","Pre","artificial",4.5
"132","142275","Scam","Pre","real",5
"133","143839","Neutral","Post","artificial",5
"134","143839","Neutral","Post","real",4.83333333333333
"135","143839","Neutral","Pre","artificial",5.66666666666667
"136","143839","Neutral","Pre","real",5.66666666666667
"137","143839","None","Post","artificial",4.66666666666667
"138","143839","None","Post","real",3
"139","143839","None","Pre","artificial",6.5
"140","143839","None","Pre","real",4.83333333333333
"141","143839","Scam","Post","artificial",3.8
"142","143839","Scam","Post","real",2.5
"143","143839","Scam","Pre","artificial",5.16666666666667
"144","143839","Scam","Pre","real",6.83333333333333
"145","152441","Neutral","Post","artificial",3.5
"146","152441","Neutral","Post","real",7.66666666666667
"147","152441","Neutral","Pre","artificial",5.83333333333333
"148","152441","Neutral","Pre","real",6.33333333333333
"149","152441","None","Post","artificial",6.33333333333333
"150","152441","None","Post","real",6.5
"151","152441","None","Pre","artificial",6.16666666666667
"152","152441","None","Pre","real",6.66666666666667
"153","152441","Scam","Post","artificial",3.5
"154","152441","Scam","Post","real",3
"155","152441","Scam","Pre","artificial",5.5
"156","152441","Scam","Pre","real",7
"157","164281","Neutral","Post","artificial",2.33333333333333
"158","164281","Neutral","Post","real",9.33333333333333
"159","164281","Neutral","Pre","artificial",2.16666666666667
"160","164281","Neutral","Pre","real",5.66666666666667
"161","164281","None","Post","artificial",3
"162","164281","None","Post","real",6.33333333333333
"163","164281","None","Pre","artificial",2.83333333333333
"164","164281","None","Pre","real",5.16666666666667
"165","164281","Scam","Post","artificial",3.66666666666667
"166","164281","Scam","Post","real",2.66666666666667
"167","164281","Scam","Pre","artificial",3.16666666666667
"168","164281","Scam","Pre","real",4.83333333333333
"169","184369","Neutral","Post","artificial",3.5
"170","184369","Neutral","Post","real",6
"171","184369","Neutral","Pre","artificial",4.33333333333333
"172","184369","Neutral","Pre","real",6
"173","184369","None","Post","artificial",4.5
"174","184369","None","Post","real",4.16666666666667
"175","184369","None","Pre","artificial",6.33333333333333
"176","184369","None","Pre","real",4.83333333333333
"177","184369","Scam","Post","artificial",3.5
"178","184369","Scam","Post","real",4.83333333333333
"179","184369","Scam","Pre","artificial",3.66666666666667
"180","184369","Scam","Pre","real",4
"181","185163","Neutral","Post","artificial",4.66666666666667
"182","185163","Neutral","Post","real",5.83333333333333
"183","185163","Neutral","Pre","artificial",7
"184","185163","Neutral","Pre","real",6.83333333333333
"185","185163","None","Post","artificial",4.5
"186","185163","None","Post","real",6.83333333333333
"187","185163","None","Pre","artificial",6.33333333333333
"188","185163","None","Pre","real",7.5
"189","185163","Scam","Post","artificial",3.83333333333333
"190","185163","Scam","Post","real",5.83333333333333
"191","185163","Scam","Pre","artificial",4.66666666666667
"192","185163","Scam","Pre","real",6.5
"193","204436","Neutral","Post","artificial",4.83333333333333
"194","204436","Neutral","Post","real",7
"195","204436","Neutral","Pre","artificial",4.66666666666667
"196","204436","Neutral","Pre","real",5.66666666666667
"197","204436","None","Post","artificial",6
"198","204436","None","Post","real",6.5
"199","204436","None","Pre","artificial",5.66666666666667
"200","204436","None","Pre","real",7
"201","204436","Scam","Post","artificial",4.83333333333333
"202","204436","Scam","Post","real",7.66666666666667
"203","204436","Scam","Pre","artificial",5.5
"204","204436","Scam","Pre","real",5.83333333333333
"205","217095","Neutral","Post","artificial",2.66666666666667
"206","217095","Neutral","Post","real",7.16666666666667
"207","217095","Neutral","Pre","artificial",5.16666666666667
"208","217095","Neutral","Pre","real",7
"209","217095","None","Post","artificial",4.16666666666667
"210","217095","None","Post","real",6.66666666666667
"211","217095","None","Pre","artificial",5.33333333333333
"212","217095","None","Pre","real",6.16666666666667
"213","217095","Scam","Post","artificial",4
"214","217095","Scam","Post","real",6.16666666666667
"215","217095","Scam","Pre","artificial",5.33333333333333
"216","217095","Scam","Pre","real",6.66666666666667
"217","232451","Neutral","Post","artificial",4
"218","232451","Neutral","Post","real",5.33333333333333
"219","232451","Neutral","Pre","artificial",3.66666666666667
"220","232451","Neutral","Pre","real",5.33333333333333
"221","232451","None","Post","artificial",5.5
"222","232451","None","Post","real",6.16666666666667
"223","232451","None","Pre","artificial",4.83333333333333
"224","232451","None","Pre","real",6.33333333333333
"225","232451","Scam","Post","artificial",4.5
"226","232451","Scam","Post","real",5.66666666666667
"227","232451","Scam","Pre","artificial",3.83333333333333
"228","232451","Scam","Pre","real",6.16666666666667
"229","234755","Neutral","Post","artificial",3
"230","234755","Neutral","Post","real",2.83333333333333
"231","234755","Neutral","Pre","artificial",0.666666666666667
"232","234755","Neutral","Pre","real",2.83333333333333
"233","234755","None","Post","artificial",1.33333333333333
"234","234755","None","Post","real",1.66666666666667
"235","234755","None","Pre","artificial",1
"236","234755","None","Pre","real",3
"237","234755","Scam","Post","artificial",1.66666666666667
"238","234755","Scam","Post","real",1.16666666666667
"239","234755","Scam","Pre","artificial",2.5
"240","234755","Scam","Pre","real",0.833333333333333
"241","264972","Neutral","Post","artificial",2.66666666666667
"242","264972","Neutral","Post","real",3
"243","264972","Neutral","Pre","artificial",1.5
"244","264972","Neutral","Pre","real",4
"245","264972","None","Post","artificial",3
"246","264972","None","Post","real",4
"247","264972","None","Pre","artificial",2.33333333333333
"248","264972","None","Pre","real",5.66666666666667
"249","264972","Scam","Post","artificial",2
"250","264972","Scam","Post","real",1.5
"251","264972","Scam","Pre","artificial",2.83333333333333
"252","264972","Scam","Pre","real",4.66666666666667
"253","271667","Neutral","Post","artificial",4
"254","271667","Neutral","Post","real",7
"255","271667","Neutral","Pre","artificial",5
"256","271667","Neutral","Pre","real",6.66666666666667
"257","271667","None","Post","artificial",6.5
"258","271667","None","Post","real",7.33333333333333
"259","271667","None","Pre","artificial",4.33333333333333
"260","271667","None","Pre","real",7.83333333333333
"261","271667","Scam","Post","artificial",6
"262","271667","Scam","Post","real",6.16666666666667
"263","271667","Scam","Pre","artificial",3.5
"264","271667","Scam","Pre","real",6.83333333333333
"265","277518","Neutral","Post","artificial",5.83333333333333
"266","277518","Neutral","Post","real",4.83333333333333
"267","277518","Neutral","Pre","artificial",6.66666666666667
"268","277518","Neutral","Pre","real",6.66666666666667
"269","277518","None","Post","artificial",6
"270","277518","None","Post","real",6.16666666666667
"271","277518","None","Pre","artificial",6.16666666666667
"272","277518","None","Pre","real",7.16666666666667
"273","277518","Scam","Post","artificial",5.83333333333333
"274","277518","Scam","Post","real",5.5
"275","277518","Scam","Pre","artificial",6.83333333333333
"276","277518","Scam","Pre","real",7.66666666666667
"277","282486","Neutral","Post","artificial",2.6
"278","282486","Neutral","Post","real",2.16666666666667
"279","282486","Neutral","Pre","artificial",1.6
"280","282486","Neutral","Pre","real",4.5
"281","282486","None","Post","artificial",2.66666666666667
"282","282486","None","Post","real",3
"283","282486","None","Pre","artificial",2.5
"284","282486","None","Pre","real",5.16666666666667
"285","282486","Scam","Post","artificial",1.66666666666667
"286","282486","Scam","Post","real",2.16666666666667
"287","282486","Scam","Pre","artificial",1.66666666666667
"288","282486","Scam","Pre","real",4.5
"289","287721","Neutral","Post","artificial",3.83333333333333
"290","287721","Neutral","Post","real",5.5
"291","287721","Neutral","Pre","artificial",4.33333333333333
"292","287721","Neutral","Pre","real",6.33333333333333
"293","287721","None","Post","artificial",5
"294","287721","None","Post","real",5.33333333333333
"295","287721","None","Pre","artificial",5.66666666666667
"296","287721","None","Pre","real",5.5
"297","287721","Scam","Post","artificial",4.33333333333333
"298","287721","Scam","Post","real",4.5
"299","287721","Scam","Pre","artificial",5.66666666666667
"300","287721","Scam","Pre","real",5
"301","305753","Neutral","Post","artificial",7.66666666666667
"302","305753","Neutral","Post","real",6.5
"303","305753","Neutral","Pre","artificial",4
"304","305753","Neutral","Pre","real",5.66666666666667
"305","305753","None","Post","artificial",7
"306","305753","None","Post","real",3.83333333333333
"307","305753","None","Pre","artificial",5.83333333333333
"308","305753","None","Pre","real",3.33333333333333
"309","305753","Scam","Post","artificial",4.66666666666667
"310","305753","Scam","Post","real",2.33333333333333
"311","305753","Scam","Pre","artificial",4.5
"312","305753","Scam","Pre","real",7
"313","337202","Neutral","Post","artificial",4
"314","337202","Neutral","Post","real",4.33333333333333
"315","337202","Neutral","Pre","artificial",4.83333333333333
"316","337202","Neutral","Pre","real",4.5
"317","337202","None","Post","artificial",4.6
"318","337202","None","Post","real",4.5
"319","337202","None","Pre","artificial",4.83333333333333
"320","337202","None","Pre","real",5.33333333333333
"321","337202","Scam","Post","artificial",4.33333333333333
"322","337202","Scam","Post","real",3.66666666666667
"323","337202","Scam","Pre","artificial",4.8
"324","337202","Scam","Pre","real",4.5
"325","369609","Neutral","Post","artificial",5.33333333333333
"326","369609","Neutral","Post","real",6.33333333333333
"327","369609","Neutral","Pre","artificial",4.33333333333333
"328","369609","Neutral","Pre","real",5.5
"329","369609","None","Post","artificial",4.16666666666667
"330","369609","None","Post","real",5.83333333333333
"331","369609","None","Pre","artificial",3.33333333333333
"332","369609","None","Pre","real",5.5
"333","369609","Scam","Post","artificial",5.16666666666667
"334","369609","Scam","Post","real",5.66666666666667
"335","369609","Scam","Pre","artificial",3.5
"336","369609","Scam","Pre","real",4.5
"337","387610","Neutral","Post","artificial",4
"338","387610","Neutral","Post","real",4.6
"339","387610","Neutral","Pre","artificial",4
"340","387610","Neutral","Pre","real",6.33333333333333
"341","387610","None","Post","artificial",4.16666666666667
"342","387610","None","Post","real",5.2
"343","387610","None","Pre","artificial",4.16666666666667
"344","387610","None","Pre","real",5
"345","387610","Scam","Post","artificial",2.66666666666667
"346","387610","Scam","Post","real",5.33333333333333
"347","387610","Scam","Pre","artificial",3.33333333333333
"348","387610","Scam","Pre","real",4.33333333333333
"349","391653","Neutral","Post","artificial",4.66666666666667
"350","391653","Neutral","Post","real",6.16666666666667
"351","391653","Neutral","Pre","artificial",5.33333333333333
"352","391653","Neutral","Pre","real",6.16666666666667
"353","391653","None","Post","artificial",5.33333333333333
"354","391653","None","Post","real",6.16666666666667
"355","391653","None","Pre","artificial",6.66666666666667
"356","391653","None","Pre","real",6.33333333333333
"357","391653","Scam","Post","artificial",4.33333333333333
"358","391653","Scam","Post","real",4.66666666666667
"359","391653","Scam","Pre","artificial",4.83333333333333
"360","391653","Scam","Pre","real",5.33333333333333
"361","398010","Neutral","Post","artificial",0.166666666666667
"362","398010","Neutral","Post","real",4.16666666666667
"363","398010","Neutral","Pre","artificial",0.5
"364","398010","Neutral","Pre","real",3
"365","398010","None","Post","artificial",0
"366","398010","None","Post","real",2.5
"367","398010","None","Pre","artificial",1.5
"368","398010","None","Pre","real",2
"369","398010","Scam","Post","artificial",0.166666666666667
"370","398010","Scam","Post","real",4.16666666666667
"371","398010","Scam","Pre","artificial",0
"372","398010","Scam","Pre","real",3.16666666666667
"373","411563","Neutral","Post","artificial",6.5
"374","411563","Neutral","Post","real",5.66666666666667
"375","411563","Neutral","Pre","artificial",5.16666666666667
"376","411563","Neutral","Pre","real",6.16666666666667
"377","411563","None","Post","artificial",6.16666666666667
"378","411563","None","Post","real",6
"379","411563","None","Pre","artificial",6
"380","411563","None","Pre","real",6.33333333333333
"381","411563","Scam","Post","artificial",5.33333333333333
"382","411563","Scam","Post","real",4
"383","411563","Scam","Pre","artificial",4.83333333333333
"384","411563","Scam","Pre","real",5.66666666666667
"385","419102","Neutral","Post","artificial",3.33333333333333
"386","419102","Neutral","Post","real",4.33333333333333
"387","419102","Neutral","Pre","artificial",4
"388","419102","Neutral","Pre","real",5.5
"389","419102","None","Post","artificial",4.16666666666667
"390","419102","None","Post","real",3.66666666666667
"391","419102","None","Pre","artificial",4.91666666666667
"392","419102","None","Pre","real",4.83333333333333
"393","419102","Scam","Post","artificial",3.66666666666667
"394","419102","Scam","Post","real",2.83333333333333
"395","419102","Scam","Pre","artificial",4
"396","419102","Scam","Pre","real",5.33333333333333
"397","419409","Neutral","Post","artificial",0.166666666666667
"398","419409","Neutral","Post","real",6.16666666666667
"399","419409","Neutral","Pre","artificial",1
"400","419409","Neutral","Pre","real",3.66666666666667
"401","419409","None","Post","artificial",0.666666666666667
"402","419409","None","Post","real",7.5
"403","419409","None","Pre","artificial",0.833333333333333
"404","419409","None","Pre","real",3.83333333333333
"405","419409","Scam","Post","artificial",1.33333333333333
"406","419409","Scam","Post","real",5.66666666666667
"407","419409","Scam","Pre","artificial",2.5
"408","419409","Scam","Pre","real",4.66666666666667
"409","422657","Neutral","Post","artificial",4
"410","422657","Neutral","Post","real",5
"411","422657","Neutral","Pre","artificial",3.5
"412","422657","Neutral","Pre","real",5.33333333333333
"413","422657","None","Post","artificial",4.66666666666667
"414","422657","None","Post","real",6
"415","422657","None","Pre","artificial",5.16666666666667
"416","422657","None","Pre","real",5.16666666666667
"417","422657","Scam","Post","artificial",1.83333333333333
"418","422657","Scam","Post","real",2.16666666666667
"419","422657","Scam","Pre","artificial",5.16666666666667
"420","422657","Scam","Pre","real",4.5
"421","432319","Neutral","Post","artificial",4.16666666666667
"422","432319","Neutral","Post","real",4.16666666666667
"423","432319","Neutral","Pre","artificial",2.5
"424","432319","Neutral","Pre","real",5
"425","432319","None","Post","artificial",5
"426","432319","None","Post","real",5.83333333333333
"427","432319","None","Pre","artificial",4
"428","432319","None","Pre","real",4
"429","432319","Scam","Post","artificial",3.33333333333333
"430","432319","Scam","Post","real",6.16666666666667
"431","432319","Scam","Pre","artificial",3
"432","432319","Scam","Pre","real",5.16666666666667
"433","439164","Neutral","Post","artificial",3.83333333333333
"434","439164","Neutral","Post","real",5.16666666666667
"435","439164","Neutral","Pre","artificial",4.16666666666667
"436","439164","Neutral","Pre","real",4.83333333333333
"437","439164","None","Post","artificial",5.66666666666667
"438","439164","None","Post","real",5.83333333333333
"439","439164","None","Pre","artificial",4.83333333333333
"440","439164","None","Pre","real",6
"441","439164","Scam","Post","artificial",4
"442","439164","Scam","Post","real",5
"443","439164","Scam","Pre","artificial",4.33333333333333
"444","439164","Scam","Pre","real",5.83333333333333
"445","449778","Neutral","Post","artificial",6.16666666666667
"446","449778","Neutral","Post","real",7.16666666666667
"447","449778","Neutral","Pre","artificial",5.5
"448","449778","Neutral","Pre","real",5.83333333333333
"449","449778","None","Post","artificial",6.33333333333333
"450","449778","None","Post","real",6.33333333333333
"451","449778","None","Pre","artificial",6
"452","449778","None","Pre","real",5.16666666666667
"453","449778","Scam","Post","artificial",7
"454","449778","Scam","Post","real",7.5
"455","449778","Scam","Pre","artificial",4
"456","449778","Scam","Pre","real",6.66666666666667
"457","450404","Neutral","Post","artificial",1.83333333333333
"458","450404","Neutral","Post","real",2.83333333333333
"459","450404","Neutral","Pre","artificial",1.16666666666667
"460","450404","Neutral","Pre","real",4.83333333333333
"461","450404","None","Post","artificial",0.666666666666667
"462","450404","None","Post","real",4
"463","450404","None","Pre","artificial",0
"464","450404","None","Pre","real",4.16666666666667
"465","450404","Scam","Post","artificial",1
"466","450404","Scam","Post","real",5.16666666666667
"467","450404","Scam","Pre","artificial",0.333333333333333
"468","450404","Scam","Pre","real",3.66666666666667
"469","452251","Neutral","Post","artificial",6
"470","452251","Neutral","Post","real",6.16666666666667
"471","452251","Neutral","Pre","artificial",5.83333333333333
"472","452251","Neutral","Pre","real",5.83333333333333
"473","452251","None","Post","artificial",5.83333333333333
"474","452251","None","Post","real",5.66666666666667
"475","452251","None","Pre","artificial",6.16666666666667
"476","452251","None","Pre","real",5.83333333333333
"477","452251","Scam","Post","artificial",3.33333333333333
"478","452251","Scam","Post","real",4.66666666666667
"479","452251","Scam","Pre","artificial",7
"480","452251","Scam","Pre","real",6.33333333333333
"481","464935","Neutral","Post","artificial",4.83333333333333
"482","464935","Neutral","Post","real",6
"483","464935","Neutral","Pre","artificial",5
"484","464935","Neutral","Pre","real",5.5
"485","464935","None","Post","artificial",4.16666666666667
"486","464935","None","Post","real",4.5
"487","464935","None","Pre","artificial",5.5
"488","464935","None","Pre","real",5.5
"489","464935","Scam","Post","artificial",4.5
"490","464935","Scam","Post","real",4
"491","464935","Scam","Pre","artificial",5.83333333333333
"492","464935","Scam","Pre","real",4.83333333333333
"493","466599","Neutral","Post","artificial",6
"494","466599","Neutral","Post","real",4.83333333333333
"495","466599","Neutral","Pre","artificial",5.5
"496","466599","Neutral","Pre","real",5.66666666666667
"497","466599","None","Post","artificial",5.33333333333333
"498","466599","None","Post","real",6
"499","466599","None","Pre","artificial",5.66666666666667
"500","466599","None","Pre","real",5.16666666666667
"501","466599","Scam","Post","artificial",5
"502","466599","Scam","Post","real",5.33333333333333
"503","466599","Scam","Pre","artificial",5.33333333333333
"504","466599","Scam","Pre","real",5.5
"505","473890","Neutral","Post","artificial",5.5
"506","473890","Neutral","Post","real",5.66666666666667
"507","473890","Neutral","Pre","artificial",3.33333333333333
"508","473890","Neutral","Pre","real",5.66666666666667
"509","473890","None","Post","artificial",2.83333333333333
"510","473890","None","Post","real",6
"511","473890","None","Pre","artificial",2.33333333333333
"512","473890","None","Pre","real",7
"513","473890","Scam","Post","artificial",2.83333333333333
"514","473890","Scam","Post","real",5
"515","473890","Scam","Pre","artificial",4
